NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
Haddow,2,240,90,53.45491224569477,-113.59656625249589,"(53.45491224569477, -113.59656625249589)",POINT (-113.59656625249589 53.45491224569477)
Baturyn,7,150,90,53.63224425369821,-113.50601541675871,"(53.63224425369821, -113.50601541675871)",POINT (-113.50601541675871 53.63224425369821)
Norwood Square,1,130,80,53.56438765860768,-113.48820523977327,"(53.56438765860768, -113.48820523977327)",POINT (-113.48820523977327 53.56438765860768)
Prince Charles,1,300,165,53.57835676373127,-113.53801402054609,"(53.57835676373127, -113.53801402054609)",POINT (-113.53801402054609 53.57835676373127)
Giovanni Caboto,2,130,90,53.55683407848324,-113.48336382155333,"(53.55683407848324, -113.48336382155333)",POINT (-113.48336382155333 53.55683407848324)
McDougall,1,145,105,53.555089207588885,-113.50504148787174,"(53.555089207588885, -113.50504148787174)",POINT (-113.50504148787174 53.555089207588885)
Lorelei,6,150,90,53.62381423385154,-113.50323220199978,"(53.62381423385154, -113.50323220199978)",POINT (-113.50323220199978 53.62381423385154)
York Park,2,130,70,53.6011084614682,-113.43420140155577,"(53.6011084614682, -113.43420140155577)",POINT (-113.43420140155577 53.6011084614682)
Sakaw,3,180,90,53.44186911964238,-113.42898225571528,"(53.44186911964238, -113.42898225571528)",POINT (-113.42898225571528 53.44186911964238)
Michaels Park,1,235,110,53.47967789023055,-113.45070851217831,"(53.47967789023055, -113.45070851217831)",POINT (-113.45070851217831 53.47967789023055)
Lady Prairies,2,240,150,53.49850331048801,-113.62481106224323,"(53.49850331048801, -113.62481106224323)",POINT (-113.62481106224323 53.49850331048801)
,1,300,180,53.535651412293475,-113.70943419436362,"(53.535651412293475, -113.70943419436362)",POINT (-113.70943419436362 53.535651412293475)
Rundle Park,2,325,165,53.55779762794414,-113.38384557618893,"(53.55779762794414, -113.38384557618893)",POINT (-113.38384557618893 53.55779762794414)
St. Charles,2,180,100,53.631937497382566,-113.50234173136616,"(53.631937497382566, -113.50234173136616)",POINT (-113.50234173136616 53.631937497382566)
Mother Margaret Mary,4,180,90,53.45961053345743,-113.57957401408623,"(53.45961053345743, -113.57957401408623)",POINT (-113.57957401408623 53.45961053345743)
Caernarvon,1,300,175,53.609501494758824,-113.52579427978885,"(53.609501494758824, -113.52579427978885)",POINT (-113.52579427978885 53.609501494758824)
Ormsby Place,4,175,100,53.49860277423957,-113.63672290361065,"(53.49860277423957, -113.63672290361065)",POINT (-113.63672290361065 53.49860277423957)
Forest Heights Park,1,330,170,53.543909544065265,-113.45842535381026,"(53.543909544065265, -113.45842535381026)",POINT (-113.45842535381026 53.543909544065265)
St. Stanislaus,1,240,160,53.475647125149145,-113.52476514425186,"(53.475647125149145, -113.52476514425186)",POINT (-113.52476514425186 53.475647125149145)
