NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
McQueen,3,150,90,53.555179203742355,-113.57013705326231,"(53.555179203742355, -113.57013705326231)",POINT (-113.57013705326231 53.555179203742355)
Pollard Meadows,6,300,210,53.44909110268931,-113.41224169980241,"(53.44909110268931, -113.41224169980241)",POINT (-113.41224169980241 53.44909110268931)
LY Cairns,1,330,180,53.48378997070718,-113.50381045192165,"(53.48378997070718, -113.50381045192165)",POINT (-113.50381045192165 53.48378997070718)
Hodgson Road,1,300,180,53.4585905299422,-113.55804113242468,"(53.4585905299422, -113.55804113242468)",POINT (-113.55804113242468 53.4585905299422)
Balwin,2,150,90,53.59097259014012,-113.44797980116516,"(53.59097259014012, -113.44797980116516)",POINT (-113.44797980116516 53.59097259014012)
McNally,1,180,90,53.54867954966005,-113.46197026507913,"(53.54867954966005, -113.46197026507913)",POINT (-113.46197026507913 53.54867954966005)
Ramsey Heights,3,300,160,53.48325842219966,-113.58407708332422,"(53.48325842219966, -113.58407708332422)",POINT (-113.58407708332422 53.48325842219966)
Westridge,1,240,155,53.506796827554176,-113.60240659403007,"(53.506796827554176, -113.60240659403007)",POINT (-113.60240659403007 53.506796827554176)
Summerlea,4,150,100,53.52771661471282,-113.62427082490969,"(53.52771661471282, -113.62427082490969)",POINT (-113.62427082490969 53.52771661471282)
Frere Antoine,2,270,190,53.459451061787064,-113.4511962120422,"(53.459451061787064, -113.4511962120422)",POINT (-113.4511962120422 53.459451061787064)
Braemar,4,270,160,53.53108330228697,-113.42729099185918,"(53.53108330228697, -113.42729099185918)",POINT (-113.42729099185918 53.53108330228697)
,1,300,210,53.44279326122109,-113.5593695930958,"(53.44279326122109, -113.5593695930958)",POINT (-113.5593695930958 53.44279326122109)
St. Benedict,8,180,90,53.52556570208402,-113.63283778240846,"(53.52556570208402, -113.63283778240846)",POINT (-113.63283778240846 53.52556570208402)
Mount Royal,1,240,150,53.56915683184592,-113.4233114554523,"(53.56915683184592, -113.4233114554523)",POINT (-113.4233114554523 53.56915683184592)
Kirkness,7,180,100,53.61209204852981,-113.3876516686594,"(53.61209204852981, -113.3876516686594)",POINT (-113.3876516686594 53.61209204852981)
M Lavallee,2,235,110,53.525502227491884,-113.47501192988024,"(53.525502227491884, -113.47501192988024)",POINT (-113.47501192988024 53.525502227491884)
Greenview,2,240,130,53.475578679804286,-113.428065858791,"(53.475578679804286, -113.428065858791)",POINT (-113.428065858791 53.475578679804286)
Vernon Barford,4,240,150,53.473467691921755,-113.53990861390321,"(53.473467691921755, -113.53990861390321)",POINT (-113.53990861390321 53.473467691921755)
Klarvatten,1,330,200,53.634294689987065,-113.47760494262025,"(53.634294689987065, -113.47760494262025)",POINT (-113.47760494262025 53.634294689987065)
Windsor Park,1,240,130,53.524578117979,-113.53641465786862,"(53.524578117979, -113.53641465786862)",POINT (-113.53641465786862 53.524578117979)
Eaux Claires,3,240,180,53.62176543809093,-113.48430291963808,"(53.62176543809093, -113.48430291963808)",POINT (-113.48430291963808 53.62176543809093)
Brookside,2,240,130,53.4918600527773,-113.57056012835513,"(53.4918600527773, -113.57056012835513)",POINT (-113.57056012835513 53.4918600527773)
Keheewin,9,180,90,53.44999836035599,-113.50250756341417,"(53.44999836035599, -113.50250756341417)",POINT (-113.50250756341417 53.44999836035599)
Riverbend,4,330,210,53.49240602105044,-113.57584938618866,"(53.49240602105044, -113.57584938618866)",POINT (-113.57584938618866 53.49240602105044)
Poplar Park,6,320,210,53.625983082882605,-113.46983885701374,"(53.625983082882605, -113.46983885701374)",POINT (-113.46983885701374 53.625983082882605)
Laurier Heights,1,300,180,53.51609570485885,-113.566854975969,"(53.51609570485885, -113.566854975969)",POINT (-113.566854975969 53.51609570485885)
Westmount,1,240,150,53.55533807944862,-113.54348845952646,"(53.55533807944862, -113.54348845952646)",POINT (-113.54348845952646 53.55533807944862)
Ellerslie Park,2,150,90,53.43049306243093,-113.4587375720866,"(53.43049306243093, -113.4587375720866)",POINT (-113.4587375720866 53.43049306243093)
Belvedere,2,180,120,53.593756813530725,-113.43391858266392,"(53.593756813530725, -113.43391858266392)",POINT (-113.43391858266392 53.593756813530725)
Blue Quill,3,240,150,53.45936420425651,-113.52234789889295,"(53.45936420425651, -113.52234789889295)",POINT (-113.52234789889295 53.45936420425651)
Mayfield,2,240,150,53.5549446177834,-113.59650846854755,"(53.5549446177834, -113.59650846854755)",POINT (-113.59650846854755 53.5549446177834)
Laurier Heights,3,240,125,53.51565740678406,-113.56672323972445,"(53.51565740678406, -113.56672323972445)",POINT (-113.56672323972445 53.51565740678406)
Lee Ridge,2,150,90,53.47072897652139,-113.44592802565826,"(53.47072897652139, -113.44592802565826)",POINT (-113.44592802565826 53.47072897652139)
Archbishop MacDonald,1,240,135,53.55396493564929,-113.56855040571833,"(53.55396493564929, -113.56855040571833)",POINT (-113.56855040571833 53.55396493564929)
Sifton,4,300,180,53.59359086291534,-113.40882801811058,"(53.59359086291534, -113.40882801811058)",POINT (-113.40882801811058 53.59359086291534)
Lorelei,5,240,150,53.62458489189101,-113.50366825059247,"(53.62458489189101, -113.50366825059247)",POINT (-113.50366825059247 53.62458489189101)
St. Augustine,3,240,170,53.47225789138869,-113.50746594072471,"(53.47225789138869, -113.50746594072471)",POINT (-113.50746594072471 53.47225789138869)
Woodcroft,2,220,120,53.56659858468364,-113.55968392919318,"(53.56659858468364, -113.55968392919318)",POINT (-113.55968392919318 53.56659858468364)
Potter Greens,1,270,170,53.51711656552434,-113.6769808832724,"(53.51711656552434, -113.6769808832724)",POINT (-113.6769808832724 53.51711656552434)
Blue Quill II,2,180,90,53.45768199360386,-113.53807752870345,"(53.45768199360386, -113.53807752870345)",POINT (-113.53807752870345 53.45768199360386)
River Valley,1,250,110,53.53329508560733,-113.49399241343956,"(53.53329508560733, -113.49399241343956)",POINT (-113.49399241343956 53.53329508560733)
James Gibbons,1,175,70,53.52289647383775,-113.58360318323307,"(53.52289647383775, -113.58360318323307)",POINT (-113.58360318323307 53.52289647383775)
St. Philip,3,300,170,53.60770833135747,-113.47566084404347,"(53.60770833135747, -113.47566084404347)",POINT (-113.47566084404347 53.60770833135747)
Mayfield,3,240,150,53.554944405324555,-113.5957510506205,"(53.554944405324555, -113.5957510506205)",POINT (-113.5957510506205 53.554944405324555)
Lorelei,4,180,100,53.62386007247734,-113.50373699835582,"(53.62386007247734, -113.50373699835582)",POINT (-113.50373699835582 53.62386007247734)
Winterburn,2,210,100,53.53525184394275,-113.6872577963977,"(53.53525184394275, -113.6872577963977)",POINT (-113.6872577963977 53.53525184394275)
Edmonton Minor Soccer Association,8,330,210,53.42814845763512,-113.40771751310413,"(53.42814845763512, -113.40771751310413)",POINT (-113.40771751310413 53.42814845763512)
Avonmore,3,190,110,53.510563084959195,-113.45023569620267,"(53.510563084959195, -113.45023569620267)",POINT (-113.45023569620267 53.510563084959195)
École Michaëlle-Jean,1,240,90,53.539205961046285,-113.45509520066817,"(53.539205961046285, -113.45509520066817)",POINT (-113.45509520066817 53.539205961046285)
Corpus Christi,2,330,215,53.4219243037145,-113.43100386855262,"(53.4219243037145, -113.43100386855262)",POINT (-113.43100386855262 53.4219243037145)
Haddow,3,300,210,53.45505654188123,-113.59769076690367,"(53.45505654188123, -113.59769076690367)",POINT (-113.59769076690367 53.45505654188123)
Ermineskin,6,130,80,53.45788427105717,-113.50680360622006,"(53.45788427105717, -113.50680360622006)",POINT (-113.50680360622006 53.45788427105717)
Braemar,2,180,90,53.53197973076823,-113.42890435068448,"(53.53197973076823, -113.42890435068448)",POINT (-113.42890435068448 53.53197973076823)
Scott Robertson,3,180,100,53.59589351734302,-113.50303329616354,"(53.59589351734302, -113.50303329616354)",POINT (-113.50303329616354 53.59589351734302)
Pleasantview,1,230,135,53.49520094082647,-113.5094395356608,"(53.49520094082647, -113.5094395356608)",POINT (-113.5094395356608 53.49520094082647)
Cumberland,2,180,100,53.61131560381819,-113.54493256272195,"(53.61131560381819, -113.54493256272195)",POINT (-113.54493256272195 53.61131560381819)
Kameyosek,2,300,210,53.46160119935903,-113.44498928713486,"(53.46160119935903, -113.44498928713486)",POINT (-113.44498928713486 53.46160119935903)
Balwin,1,240,150,53.59178207456023,-113.4478458991378,"(53.59178207456023, -113.4478458991378)",POINT (-113.4478458991378 53.59178207456023)
Donald R. Getty,2,150,90,53.4026319616481,-113.58374774518498,"(53.4026319616481, -113.58374774518498)",POINT (-113.58374774518498 53.4026319616481)
Scott Robertson,1,300,180,53.59605035112453,-113.50399903792288,"(53.59605035112453, -113.50399903792288)",POINT (-113.50399903792288 53.59605035112453)
John Barnett,3,150,85,53.61026563378092,-113.45093997835018,"(53.61026563378092, -113.45093997835018)",POINT (-113.45093997835018 53.61026563378092)
Michaels Park,5,175,95,53.480146618502395,-113.44744462590268,"(53.480146618502395, -113.44744462590268)",POINT (-113.44744462590268 53.480146618502395)
Ormsby Place,1,275,150,53.49892259282019,-113.63750589266967,"(53.49892259282019, -113.63750589266967)",POINT (-113.63750589266967 53.49892259282019)
Bellevue,3,150,90,53.568754536685056,-113.44851161199136,"(53.568754536685056, -113.44851161199136)",POINT (-113.44851161199136 53.568754536685056)
Sifton,3,150,95,53.59389630738454,-113.40871834264223,"(53.59389630738454, -113.40871834264223)",POINT (-113.40871834264223 53.59389630738454)
Kensington,3,180,100,53.59641776163086,-113.5292170190551,"(53.59641776163086, -113.5292170190551)",POINT (-113.5292170190551 53.59641776163086)
Lee Ridge,3,330,210,53.47026834682455,-113.44658581211532,"(53.47026834682455, -113.44658581211532)",POINT (-113.44658581211532 53.47026834682455)
Fraser,3,180,80,53.61092369891746,-113.37425772606592,"(53.61092369891746, -113.37425772606592)",POINT (-113.37425772606592 53.61092369891746)
DS McKenzie,2,150,90,53.47686487286288,-113.50845896554156,"(53.47686487286288, -113.50845896554156)",POINT (-113.50845896554156 53.47686487286288)
Patricia Heights,1,240,150,53.51156440529599,-113.60416441456302,"(53.51156440529599, -113.60416441456302)",POINT (-113.60416441456302 53.51156440529599)
Terrace Heights,1,150,90,53.53927022021652,-113.43408513098103,"(53.53927022021652, -113.43408513098103)",POINT (-113.43408513098103 53.53927022021652)
Hillview,1,180,90,53.46881966499276,-113.42872021438124,"(53.46881966499276, -113.42872021438124)",POINT (-113.42872021438124 53.46881966499276)
Daly Grove,1,200,110,53.44894702799062,-113.40234007135754,"(53.44894702799062, -113.40234007135754)",POINT (-113.40234007135754 53.44894702799062)
St. John Bosco,1,300,180,53.621292923983546,-113.45818470416896,"(53.621292923983546, -113.45818470416896)",POINT (-113.45818470416896 53.621292923983546)
Foote Field,3,330,215,53.50312275827158,-113.52598260612841,"(53.50312275827158, -113.52598260612841)",POINT (-113.52598260612841 53.50312275827158)
St. Elizabeth Seton,1,180,100,53.59579754251987,-113.39379749059205,"(53.59579754251987, -113.39379749059205)",POINT (-113.39379749059205 53.59579754251987)
Herb Link,2,270,170,53.62449511757131,-113.5321410603203,"(53.62449511757131, -113.5321410603203)",POINT (-113.5321410603203 53.62449511757131)
Grandview,1,300,190,53.500000178458734,-113.54468741707191,"(53.500000178458734, -113.54468741707191)",POINT (-113.54468741707191 53.500000178458734)
Tipaskan,2,240,160,53.46280046612845,-113.45648234754826,"(53.46280046612845, -113.45648234754826)",POINT (-113.45648234754826 53.46280046612845)
A. Blair McPherson,2,150,110,53.46981776371558,-113.36025527763523,"(53.46981776371558, -113.36025527763523)",POINT (-113.36025527763523 53.46981776371558)
,3,140,80,53.56639075706561,-113.53858343272883,"(53.56639075706561, -113.53858343272883)",POINT (-113.53858343272883 53.56639075706561)
St. Francis of Assisi,3,115,90,53.58919616072301,-113.44418551476579,"(53.58919616072301, -113.44418551476579)",POINT (-113.44418551476579 53.58919616072301)
St. Edmund,4,270,165,53.59108420718692,-113.52575162773547,"(53.59108420718692, -113.52575162773547)",POINT (-113.52575162773547 53.59108420718692)
Archbishop Joseph MacNeil,2,300,160,53.46040843865551,-113.57877022225502,"(53.46040843865551, -113.57877022225502)",POINT (-113.57877022225502 53.46040843865551)
McQueen,1,250,190,53.555430042746714,-113.5708025959999,"(53.555430042746714, -113.5708025959999)",POINT (-113.5708025959999 53.555430042746714)
Crawford Plains,1,180,90,53.440738286122226,-113.40684303734574,"(53.440738286122226, -113.40684303734574)",POINT (-113.40684303734574 53.440738286122226)
St. Rose,1,300,180,53.52120478451741,-113.56846350091112,"(53.52120478451741, -113.56846350091112)",POINT (-113.56846350091112 53.52120478451741)
Waverly,3,180,90,53.52332475680849,-113.43358020983347,"(53.52332475680849, -113.43358020983347)",POINT (-113.43358020983347 53.52332475680849)
Foote Field,4,330,215,53.50403946208661,-113.5259750460062,"(53.50403946208661, -113.5259750460062)",POINT (-113.5259750460062 53.50403946208661)
Duggan,1,100,50,53.47200328802367,-113.50502204843801,"(53.47200328802367, -113.50502204843801)",POINT (-113.50502204843801 53.47200328802367)
Twin Brooks,1,330,160,53.44147481159488,-113.52690918864796,"(53.44147481159488, -113.52690918864796)",POINT (-113.52690918864796 53.44147481159488)
St. Basil,4,190,100,53.567438701703544,-113.49712498223002,"(53.567438701703544, -113.49712498223002)",POINT (-113.49712498223002 53.567438701703544)
McKee,2,180,100,53.48742881530066,-113.510286787527,"(53.48742881530066, -113.510286787527)",POINT (-113.510286787527 53.48742881530066)
Matt Berry,3,180,100,53.62079071434912,-113.43336097603647,"(53.62079071434912, -113.43336097603647)",POINT (-113.43336097603647 53.62079071434912)
Ormsby Place,2,240,150,53.49907943879299,-113.6373416793151,"(53.49907943879299, -113.6373416793151)",POINT (-113.6373416793151 53.49907943879299)
Bellevue,2,230,90,53.56819676106591,-113.44829410135645,"(53.56819676106591, -113.44829410135645)",POINT (-113.44829410135645 53.56819676106591)
Princeton,4,180,100,53.590181372964445,-113.45706532202438,"(53.590181372964445, -113.45706532202438)",POINT (-113.45706532202438 53.590181372964445)
St. Lucy,2,240,150,53.624071248146016,-113.5276303871894,"(53.624071248146016, -113.5276303871894)",POINT (-113.5276303871894 53.624071248146016)
Forest Heights,1,230,130,53.54612408413613,-113.45377820921213,"(53.54612408413613, -113.45377820921213)",POINT (-113.45377820921213 53.54612408413613)
Hairsine,1,265,100,53.604999657350156,-113.39483365538952,"(53.604999657350156, -113.39483365538952)",POINT (-113.39483365538952 53.604999657350156)
Evansdale,1,180,120,53.609243359716274,-113.48370775662175,"(53.609243359716274, -113.48370775662175)",POINT (-113.48370775662175 53.609243359716274)
Minchau,1,300,210,53.468219014241306,-113.40696779633691,"(53.468219014241306, -113.40696779633691)",POINT (-113.40696779633691 53.468219014241306)
Edmonton Soccer Centre South,3,300,200,53.49756739874696,-113.43463793789051,"(53.49756739874696, -113.43463793789051)",POINT (-113.43463793789051 53.49756739874696)
Tawa Park,1,300,210,53.46328948134584,-113.42616409919772,"(53.46328948134584, -113.42616409919772)",POINT (-113.42616409919772 53.46328948134584)
Keheewin,4,150,90,53.44985737985776,-113.50572755961831,"(53.44985737985776, -113.50572755961831)",POINT (-113.50572755961831 53.44985737985776)
Kildare,2,240,150,53.60649723327917,-113.45540276316423,"(53.60649723327917, -113.45540276316423)",POINT (-113.45540276316423 53.60649723327917)
St. Hilda,1,240,180,53.47418808302355,-113.45274055644029,"(53.47418808302355, -113.45274055644029)",POINT (-113.45274055644029 53.47418808302355)
Allard Park,2,150,90,53.39889418668254,-113.53493139451197,"(53.39889418668254, -113.53493139451197)",POINT (-113.53493139451197 53.39889418668254)
Monsignor Fee Otterson,3,150,90,53.41744260058213,-113.5203267633001,"(53.41744260058213, -113.5203267633001)",POINT (-113.5203267633001 53.41744260058213)
St. Francis of Assisi,2,150,105,53.589736579421434,-113.44387489689076,"(53.589736579421434, -113.44387489689076)",POINT (-113.44387489689076 53.589736579421434)
Belmont,7,330,210,53.59367599938353,-113.39534334665797,"(53.59367599938353, -113.39534334665797)",POINT (-113.39534334665797 53.59367599938353)
Sweet Grass,1,240,120,53.462627674660006,-113.52720974026424,"(53.462627674660006, -113.52720974026424)",POINT (-113.52720974026424 53.462627674660006)
Eastwood,2,180,100,53.57420854130182,-113.46394765047154,"(53.57420854130182, -113.46394765047154)",POINT (-113.46394765047154 53.57420854130182)
Anne Fitzgerald,2,180,65,53.59509698917307,-113.38207420626088,"(53.59509698917307, -113.38207420626088)",POINT (-113.38207420626088 53.59509698917307)
Riverbend,3,300,190,53.49235168875362,-113.5778514221543,"(53.49235168875362, -113.5778514221543)",POINT (-113.5778514221543 53.49235168875362)
Michaels Park,3,240,160,53.48044873582663,-113.45021646824095,"(53.48044873582663, -113.45021646824095)",POINT (-113.45021646824095 53.48044873582663)
Beaumaris,4,300,180,53.61828500017868,-113.49638240845916,"(53.61828500017868, -113.49638240845916)",POINT (-113.49638240845916 53.61828500017868)
St. Francis Xavier,4,240,150,53.52941471500553,-113.60518337437412,"(53.52941471500553, -113.60518337437412)",POINT (-113.60518337437412 53.52941471500553)
Father Lacombe,3,200,120,53.590132337444764,-113.50547695107822,"(53.590132337444764, -113.50547695107822)",POINT (-113.50547695107822 53.590132337444764)
Holy Family,3,300,210,53.44737804875694,-113.40707632012601,"(53.44737804875694, -113.40707632012601)",POINT (-113.40707632012601 53.44737804875694)
Elmwood,3,300,185,53.5147210792135,-113.60557367337984,"(53.5147210792135, -113.60557367337984)",POINT (-113.60557367337984 53.5147210792135)
Avalon,3,135,50,53.492100150452124,-113.52304806496404,"(53.492100150452124, -113.52304806496404)",POINT (-113.52304806496404 53.492100150452124)
Calder,1,180,100,53.589719342272325,-113.52603569940818,"(53.589719342272325, -113.52603569940818)",POINT (-113.52603569940818 53.589719342272325)
Spruce Avenue,1,290,100,53.56479671462592,-113.49750628120285,"(53.56479671462592, -113.49750628120285)",POINT (-113.49750628120285 53.56479671462592)
Glendale,1,215,140,53.53736084057682,-113.59998921279298,"(53.53736084057682, -113.59998921279298)",POINT (-113.59998921279298 53.53736084057682)
Ermineskin,3,270,180,53.45949051956311,-113.50473211021094,"(53.45949051956311, -113.50473211021094)",POINT (-113.50473211021094 53.45949051956311)
Kildare,3,240,150,53.60633791235893,-113.45464864612369,"(53.60633791235893, -113.45464864612369)",POINT (-113.45464864612369 53.60633791235893)
Potter Greens,2,150,90,53.51735235089049,-113.67600865546558,"(53.51735235089049, -113.67600865546558)",POINT (-113.67600865546558 53.51735235089049)
St. Elizabeth,2,100,70,53.46934825232065,-113.4531089531351,"(53.46934825232065, -113.4531089531351)",POINT (-113.4531089531351 53.46934825232065)
Elsinore,5,330,210,53.642419099735825,-113.50526154644278,"(53.642419099735825, -113.50526154644278)",POINT (-113.50526154644278 53.642419099735825)
Sakaw,2,240,160,53.44270615416983,-113.43009394442346,"(53.44270615416983, -113.43009394442346)",POINT (-113.43009394442346 53.44270615416983)
Lymburn,5,180,100,53.506430494423796,-113.6451023243932,"(53.506430494423796, -113.6451023243932)",POINT (-113.6451023243932 53.506430494423796)
Miller,3,180,100,53.613455365567134,-113.41770401205011,"(53.613455365567134, -113.41770401205011)",POINT (-113.41770401205011 53.613455365567134)
Pkdale,1,140,105,53.56877185603792,-113.47262148153514,"(53.56877185603792, -113.47262148153514)",POINT (-113.47262148153514 53.56877185603792)
Glengarry,2,150,90,53.59658174168727,-113.48552073600281,"(53.59658174168727, -113.48552073600281)",POINT (-113.48552073600281 53.59658174168727)
George Luck,2,240,150,53.47245058635775,-113.57632250161626,"(53.47245058635775, -113.57632250161626)",POINT (-113.57632250161626 53.47245058635775)
Northmount,2,240,150,53.60380874977118,-113.47786310236107,"(53.60380874977118, -113.47786310236107)",POINT (-113.47786310236107 53.60380874977118)
St. James,1,180,100,53.51454287955793,-113.45738976939985,"(53.51454287955793, -113.45738976939985)",POINT (-113.45738976939985 53.51454287955793)
Abbottsfield,1,240,150,53.573841166251945,-113.3922699744001,"(53.573841166251945, -113.3922699744001)",POINT (-113.3922699744001 53.573841166251945)
Summerlea,3,240,150,53.52594390276786,-113.62508156159984,"(53.52594390276786, -113.62508156159984)",POINT (-113.62508156159984 53.52594390276786)
Belmead,1,295,175,53.525630904718255,-113.63671968802521,"(53.525630904718255, -113.63671968802521)",POINT (-113.63671968802521 53.525630904718255)
Athlone,2,130,90,53.588960907513126,-113.54546209065535,"(53.588960907513126, -113.54546209065535)",POINT (-113.54546209065535 53.588960907513126)
Carlisle Park,7,240,180,53.6062614401307,-113.5256748850108,"(53.6062614401307, -113.5256748850108)",POINT (-113.5256748850108 53.6062614401307)
Ambleside,1,300,210,53.426792525602224,-113.60420531161957,"(53.426792525602224, -113.60420531161957)",POINT (-113.60420531161957 53.426792525602224)
JC Bowen,1,300,190,53.61020840801507,-113.47441101777716,"(53.61020840801507, -113.47441101777716)",POINT (-113.47441101777716 53.61020840801507)
Castle Downs,6,300,180,53.61627435509711,-113.52420682367892,"(53.61627435509711, -113.52420682367892)",POINT (-113.52420682367892 53.61627435509711)
Keheewin,3,300,190,53.44938706857183,-113.50631785593934,"(53.44938706857183, -113.50631785593934)",POINT (-113.50631785593934 53.44938706857183)
The Meadows,3,330,170,53.45765012194146,-113.373966624942,"(53.45765012194146, -113.373966624942)",POINT (-113.373966624942 53.45765012194146)
Talmud Torah,4,300,195,53.499168396654774,-113.62143308367462,"(53.499168396654774, -113.62143308367462)",POINT (-113.62143308367462 53.499168396654774)
St. Augustine,2,240,150,53.47266527010978,-113.50851271632466,"(53.47266527010978, -113.50851271632466)",POINT (-113.50851271632466 53.47266527010978)
Kiniski Gardens,1,180,90,53.478803879045564,-113.40533755425969,"(53.478803879045564, -113.40533755425969)",POINT (-113.40533755425969 53.478803879045564)
Mount Pleasant,2,180,70,53.496128626572826,-113.50288161364308,"(53.496128626572826, -113.50288161364308)",POINT (-113.50288161364308 53.496128626572826)
St. Stanislaus,2,330,190,53.47516844829014,-113.52511762176476,"(53.47516844829014, -113.52511762176476)",POINT (-113.52511762176476 53.47516844829014)
Mount Carmel,1,240,170,53.51293786635673,-113.50360493390014,"(53.51293786635673, -113.50360493390014)",POINT (-113.50360493390014 53.51293786635673)
Woodcroft,3,200,100,53.566934566818425,-113.56000706115422,"(53.566934566818425, -113.56000706115422)",POINT (-113.56000706115422 53.566934566818425)
Ramsey Heights,4,300,170,53.48310774769851,-113.58281491452853,"(53.48310774769851, -113.58281491452853)",POINT (-113.58281491452853 53.48310774769851)
Queen Mary Park,1,180,100,53.556529570376654,-113.5146746495922,"(53.556529570376654, -113.5146746495922)",POINT (-113.5146746495922 53.556529570376654)
Club Soccer,1,330,210,53.428628356789744,-113.41458024280588,"(53.428628356789744, -113.41458024280588)",POINT (-113.41458024280588 53.428628356789744)
Father Leo Green,1,180,120,53.608500054987445,-113.45692753772609,"(53.608500054987445, -113.45692753772609)",POINT (-113.45692753772609 53.608500054987445)
Elsinore,3,300,180,53.641477639388405,-113.50803811696171,"(53.641477639388405, -113.50803811696171)",POINT (-113.50803811696171 53.641477639388405)
Frere Antoine,1,330,210,53.461028779689315,-113.4511556202435,"(53.461028779689315, -113.4511556202435)",POINT (-113.4511556202435 53.461028779689315)
Lynnwood,4,135,75,53.51656130766212,-113.58806335704422,"(53.51656130766212, -113.58806335704422)",POINT (-113.58806335704422 53.51656130766212)
Dovercourt,2,240,150,53.57496660176451,-113.56211900387483,"(53.57496660176451, -113.56211900387483)",POINT (-113.56211900387483 53.57496660176451)
Callingwood Park,9,300,180,53.504105395587295,-113.62551053661693,"(53.504105395587295, -113.62551053661693)",POINT (-113.62551053661693 53.504105395587295)
Brander Gardens,1,180,90,53.49289963610177,-113.57776753936588,"(53.49289963610177, -113.57776753936588)",POINT (-113.57776753936588 53.49289963610177)
Summerlea,1,240,150,53.52656448981335,-113.62388532062803,"(53.52656448981335, -113.62388532062803)",POINT (-113.62388532062803 53.52656448981335)
Dan Knott,2,180,90,53.44548178152828,-113.45632986289205,"(53.44548178152828, -113.45632986289205)",POINT (-113.45632986289205 53.44548178152828)
Inglewood,2,180,100,53.56590841990261,-113.53970674158413,"(53.56590841990261, -113.53970674158413)",POINT (-113.53970674158413 53.56590841990261)
ME Lazerte,3,330,210,53.608674043879745,-113.44705816828878,"(53.608674043879745, -113.44705816828878)",POINT (-113.44705816828878 53.608674043879745)
Hairsine,5,180,110,53.604527795147845,-113.39138135401338,"(53.604527795147845, -113.39138135401338)",POINT (-113.39138135401338 53.604527795147845)
Carlisle Park,3,150,90,53.60445725543634,-113.52470924177251,"(53.60445725543634, -113.52470924177251)",POINT (-113.52470924177251 53.60445725543634)
Delton,2,180,110,53.57575781299297,-113.47885919940714,"(53.57575781299297, -113.47885919940714)",POINT (-113.47885919940714 53.57575781299297)
Tipaskan,1,330,210,53.46279810311071,-113.45634229209344,"(53.46279810311071, -113.45634229209344)",POINT (-113.45634229209344 53.46279810311071)
Dunluce,7,180,100,53.6217254442215,-113.52775873383511,"(53.6217254442215, -113.52775873383511)",POINT (-113.52775873383511 53.6217254442215)
Silver Berry W,1,300,195,53.458223133569895,-113.38623949658252,"(53.458223133569895, -113.38623949658252)",POINT (-113.38623949658252 53.458223133569895)
Kernohan,4,240,150,53.59292735286852,-113.38200968988431,"(53.59292735286852, -113.38200968988431)",POINT (-113.38200968988431 53.59292735286852)
Westglen,5,180,100,53.554587126970056,-113.54293644640609,"(53.554587126970056, -113.54293644640609)",POINT (-113.54293644640609 53.554587126970056)
Academy at King Edward,1,205,90,53.52167395781976,-113.489410114552,"(53.52167395781976, -113.489410114552)",POINT (-113.489410114552 53.52167395781976)
Homesteader,4,220,125,53.58672934018966,-113.41083584024081,"(53.58672934018966, -113.41083584024081)",POINT (-113.41083584024081 53.58672934018966)
Overlander,2,330,180,53.58255904183833,-113.38518235536387,"(53.58255904183833, -113.38518235536387)",POINT (-113.38518235536387 53.58255904183833)
Lansdowne,1,180,90,53.48618109465909,-113.54414659291008,"(53.48618109465909, -113.54414659291008)",POINT (-113.54414659291008 53.48618109465909)
St. Philip,5,180,90,53.60819498404498,-113.4739549749121,"(53.60819498404498, -113.4739549749121)",POINT (-113.4739549749121 53.60819498404498)
Cameron Heights,2,180,100,53.4747179698892,-113.63622139012045,"(53.4747179698892, -113.63622139012045)",POINT (-113.63622139012045 53.4747179698892)
McCauley,1,180,90,53.5536347962508,-113.48419764903865,"(53.5536347962508, -113.48419764903865)",POINT (-113.48419764903865 53.5536347962508)
St. Thomas Aquinas,1,240,180,53.39869565395386,-113.5562626673041,"(53.39869565395386, -113.5562626673041)",POINT (-113.5562626673041 53.39869565395386)
Mount Pleasant,1,240,160,53.494964931731396,-113.50132932044782,"(53.494964931731396, -113.50132932044782)",POINT (-113.50132932044782 53.494964931731396)
St. Benedict,7,195,115,53.52563652315747,-113.63187079301433,"(53.52563652315747, -113.63187079301433)",POINT (-113.63187079301433 53.52563652315747)
Sherbrooke,2,300,186,53.57641640881156,-113.5485539101007,"(53.57641640881156, -113.5485539101007)",POINT (-113.5485539101007 53.57641640881156)
Klarvatten,2,180,95,53.63439250919801,-113.4764938231811,"(53.63439250919801, -113.4764938231811)",POINT (-113.4764938231811 53.63439250919801)
Homesteader,2,235,155,53.58680502223885,-113.41270016652673,"(53.58680502223885, -113.41270016652673)",POINT (-113.41270016652673 53.58680502223885)
Hazeldean,1,240,110,53.504826666579575,-113.47779539190421,"(53.504826666579575, -113.47779539190421)",POINT (-113.47779539190421 53.504826666579575)
Malmo,2,240,140,53.4838776157346,-113.53171503108453,"(53.4838776157346, -113.53171503108453)",POINT (-113.53171503108453 53.4838776157346)
Garneau,1,150,90,53.52273131666166,-113.51476957962731,"(53.52273131666166, -113.51476957962731)",POINT (-113.51476957962731 53.52273131666166)
Keheewin,5,240,170,53.44996880410203,-113.50523889560057,"(53.44996880410203, -113.50523889560057)",POINT (-113.50523889560057 53.44996880410203)
